Comment in English,Spam / Ham,Sentiment
Can we at least have lavatory facilities in the cars for people who don't own a car?,ham,neutral
#ThingsThatWillCostBillions,spam,neutral
what was the song?,spam,neutral
With how lazy the construction workers in the us it would take 10000 years for this to be built.....,spam,neutral
None of us will ever see this hell none of our kids or their kids will ever see this.,spam,negative
But then who the hell would drive the 'local' trffic,spam,neutral
so I have to buy a Teala to us it?,spam,neutral
"In my trending feed this video showed up right below a video on ""primitive technologies"".",spam,neutral
F tesla,spam,neutral
nice upgrade on the car-train:),spam,neutral
elon musk needs to stop stealing xzibit's ideas,spam,negative
I wish you luck..,spam,positive
"all we do is create more ways to make money , i hope we go extinct soon.",spam,negative
Why not forget the trains and just let the persob drive?,spam,neutral
"Elon ""Bangin Johnny Depp's Ex at Space X"" Musk",spam,neutral
earthquake?,spam,neutral
"ya, if you think something like this will ever be built then I've got a big floppy 12"" cock",spam,neutral
"wow, great idea. there really should be some way of transporting cars long distances at high speeds
. really high tech! it could even be called a highway!",spam,positive
or you know Flint?,spam,neutral
I wish I could've been born like 40 years from now. It's frustrating having to wait for all of his ideas.,spam,neutral
I just had a brilliant idea: Imagine a bus that was on rails underground. Praise me.,spam,neutral
Or just buy a Tesla,spam,neutral
"Looks very expensive. Tunnels with magnetic walls with trains reverse magnetic outer shell would be better.
 Once it was built it would be low maintenance.",ham,neutral
"If it were sky bridges and not tunnels I could see it actually happening. Cool idea and concept, just feel like it'd be cheaper 
to build a second tier of roads above than it would below. That's just my opinion though. Musk is a very innovative person so I'm sure he's already thought of sinkholes and such",ham,positive
"I still find this interesting & best of all, possible if humans survive...",spam,neutral
cool idea but looks very cost full,spam,neutral
Lol imagine the line ups or the cost to build . not to mention some dumb ass tripping into the  hole,ham,neutral
Do you not think there's already underground cities. this would have us traveling the way they want us to. kind of creepy,spam,neutral
nice 3d,spam,positive
"this is the best name for a company tho
the boring company
but boring is a word for digging holes/tunnels",spam,neutral
5th element.,spam,neutral
This would only be beneficial for long distance travel. >100miles,spam,neutral
"Elon, what the actual fuck are you trying to do?",spam,negative
One mess up and billions die,spam,negative
at 3020 this will come true,spam,neutral
Rediculous,spam,negative
Yeah gl with the reparations/maintanence cost of all the tunnels when a simple earthquake happen.,ham,negative
na,spam,neutral
One cali earthquake would kill thousands of people,ham,negative
Can't wait to scratch this car.,spam,neutral
"Alright, alright, I KNOW it's really impractical and kind of dumb.
But is there ANYONE else who thinks that this is kind of cool? I can't be the only one.",spam,neutral
And when someone tries to drive into the skate walls? Or move the car while underground?,ham,neutral
you gonna pay for it?,spam,neutral
Damn Star Citizen 4.0 looks amazing,spam,neutral
Thats a pretty boring idea,spam,neutral
"Costs and everything put together, this is the most unrealistic ""vision"" of 2017. Seems like something out of a kids head.",spam,neutral
Look at all the genius engineers in the comments.,spam,neutral
"Alright, but what if I need an on-ramp with a service capacity of greater than 2 cars per minute? 
Then what infrastructure development company do I use?",ham,neutral
I'm buying the tunnel stock,spam,neutral
"The ""boring"" company, but y tho?",spam,neutral
Lol well sorry about your autopilot tesla 😂,spam,neutral
This new GTAV patch looks lit af.,spam,neutral
Why underground? You can do same thing on bridges above the traffic. Fuck you fake idea,spam,negative
interesting..,spam,positive
"you cannot do it in Turkey. it is too crowded and if they wait for tunnel, traffic sucks. if you think the projects
 for small towns that is okay.",ham,neutral
what if there's an earth quake?,ham,neutral
they already invented subways 200 years ago,spam,neutral
When you're stuck in traffic and want to get out of downtown quicker; this is what you come up with.,spam,neutral
*TAKES WRONG TUNNEL TO WORK* FUCK WHY CAN'T I TURN OFF HERE,ham,neutral
This is pure crap,spam,negative
So....I guess Elon Musk really wasn't kidding huh?,spam,neutral
"Subways are far more efficient, and emit far less CO2 when taking into account the amount of people trains carry.
 This is stupid. We should be investing in optimizing and improving our subway systems. Just take a look at Japan or China.",ham,negative
that's really cool but wouldn't people fall down those holes?,ham,positive
"so instead of using hydrogen fuel cells to extend the range if the tesla, hes going to use an extremley
 expensive and overly complicated railway system for cars?",ham,negative
I need this in cities skylines 0_0,spam,neutral
I want a boring company hat.,spam,neutral
lol this is not gonna happen in our life time unfortunately,spam,neutral
Bruh..,spam,neutral
"This is a nightmare for car enthusiasts like me. 
1. Why would you buy a car and not drive it? 
2. It would take so much effort to build these tunnels.",ham,negative
I forsee earthquakes in California...,spam,neutral
Someone call Dig Alert,spam,neutral
"I hope ""The Boring Company"" capture all these combustion engines vehicle's and bury them under ground. It would be the biggest plot in the auto industry :D

""Air pollution free City's is the Future""",spam,neutral
I mean a concept seems cool but what if a EMP' goes off and you're stuck underground?,spam,neutral
We could.  But we rather have a a huge dumb wall.,spam,negative
This is great for the 1%.,spam,neutral
"then it gets hacked, high suicide rate, power goes out and no oxygen, but realistically we ain't go the tax dollars for all that",spam,negative
elon u genius fam,spam,neutral
Imagine the toll!,spam,neutral
"We got earthquakes here tho, how are they gonna work around that?",ham,neutral
Where are the Futurama tubes for pedestrians?,spam,neutral
Hahaha all you sheep already forgot about the hyper loop fantasy,spam,neutral
I don't like the platform the car rides on what is the need for that? just let the cars drive themselves in the tunnels,ham,neutral
"just like the underground train, but way less density (area per person) and way more expensive.",spam,neutral
"Let's just say for the sake of argument that this is a great idea and can be made sooner than later.
 Someone (perhaps even Elon himself) should have known that when we (the public) see this video it looks outlandish, extravagantly expensive, and not remotely reasonable in the next 50 years at least. I'm giving Elon the benefit of the doubt, but we need more convincing than this. Quite simply we are not buying it.",spam,negative
Shit I haven't seen one positive comment so far...,spam,neutral
Does anyone know that intro song?,spam,neutral
"Studies have already shown that if you build more streets, they will be also filled with traffic.
 This won't solve our traffic problems. A better public transportation system will.",ham,negative
sub to me,spam,neutral
So someone explain what this is please?,spam,neutral
"Not sure why there are so many blunt defenders without answers to the listed problems in the comments.
 People have a right to criticize this approach until Elon or his engineers provide solutions. Also, I'm surprised the catastrophic impact of an earthquake has not been mentioned all that much here. Even if it's only implemented in a couple cities, I can't imagine the cost of repairs and risk of mishaps.",spam,negative
yeaaaaaah suuuuure!,spam,neutral
I'm not buying it.,spam,neutral
"Good lord.. Heh, why not flying cars, or we just demolish the buildings on one side and add 14 lanes? Its just as sane an idea, right? Who needs ""mass transit"" and those silly things called ""subways"", you can't take your car on one, so its so stupid an idea!Seems like every genius engineer has to have a Spruce Goose - it might work, but, in the long run, its expensive, and unnecessary, as well as an episode of time when they strip naked and store their pee in a jar, which would be Elon Musk's obsession with the ideas that something which we may never see for another 200 years, but he is *sure* we will have magically breakthroughs over, any day now (never mind that we don't even have a clue how the F to find those breakthroughs), will somehow pit uploaded/neuralinked transhumans against a malignant child of Siri (presumably without both being reduced to ineffectual idiocy by our poor understanding of sentience, consciousness and actual function of critical bits of the brain's function).Its all well and good to dwell on the grand ideas, and possible risks, of freaking science fiction, but not to the bloody stupid extent that you make the same mistake past writers did, and start thinking that, ""2020 sounds like a good date to pick for when it will all happen."", or the even bloody worse nonsense of assuming that, just because you can imagine something, the ""end result"" will ""look like, and function exactly like"", what you are imagining. Hint: it never does, and sometime, fear, lack of openness in the design process, etc. make it so that, even if it was vaguely ""possible"" to get a result, it will either be supplanted by something else, with its own limitations and problems, or it will never, ever, result in the exact form you imagined. What ever bits of the silly nonsense Musk keeps rambling about that do happen, they will look **nothing at all** like what he, or any of the other squirrely, semi-paranoid, ""visionaries"" imagine it will, unless, ironically, someone 50-100 years after the ""real one"" comes along decides to create a ""retro"" version. A sort of ""Fallout game"" equivalent of, ""What if we actually had all those crazy breakthroughs back in 2020, when the world looked so backwards and had so many silly idea?""Much of the stuff he comes up with, like every generation of ""visionaries"", is silly and absurd, even to the people living in it. Because, again... WTF good is it to take the existing problem, i.e., lack of public transportation, and/or sensible solutions to move people around, and shove all that into single vehicle, underground, and overly bloody complicated, ""single car transporters, which, when things f up, will leave you stuck down there, or misqueue and shove your car up under someone else on the road up top (or possibly open the hole in front of the car already there, or.. Good design means, ""Fewer things that can go wrong."", not, ""Heh, I think Rube Goldberg had a great solution to our traffic problem, here is how I would implement it!!"" Yikes! And the cost of doing it the stupid way, instead of just... firing all the idiots that keep stealing money from things like California's transit system (which would, sadly, be most of the politicians in the state), and actually building a light rail system for people... Mind, just to be clear on this - this is proof that Democrats, while they may be pro-social issues, are still conservative/greed driven on every other subject, and thus **not actually progressives**. The idiots in charge in other cities, including mine, which is conservative run, and in Arizona, pull the same thing, on the same issues. They recently killed public transportation (because, well, when no one, because of how the city is laid out, in part, can ""get"" to the damn bus, its kind of silly to whine about there being no one riding them), but, while they where still trying to fund it, they had a small.. hickup. Seems, millions went ""missing"", which where supposed to be allocated to the project. They, surprisingly, ""found"" enough millions, misallocated to other projects, to fix this, but ""never"" managed to work out how, whoops!, it went missing in the first place. I mean, seriously? When they can't f-ing keep track of where money went/got spent in **either** Republican or Democrat run cities/states, is it any wonder why both sides have some completely delusional ideas about how the economy works, with the former thinking that it all ""fixes itself, via market forces"", while the latter seems to think it just grows on trees?
Sorry about that bit of rant, but.. seriously, you can't, ""Do what is needed to elevate people above the problems they can't solve themselves."", by ""hoping"" the money will magically appear when needed, instead of.. actually planning out how to spend it sensibly (the Democrat's problem), nor by just going, ""Well, gosh... we have no idea where it went, but those people are not trying hard enough to fix their own problems anyway, so why worry? The market will fix everything, and I have this spendy project that will help the market coming up, so I need to cut something from children's food programs to pay for it!"" (the Republican solution). Where the F are the people, who we can vote for, that believe in a) actual accounting for the money, and b) actually making sure the freaking solutions ""fix"" the actual problems, instead of just wishing they fix themselves, or praying the money will drop out of the sky, to fund something they don't actually pay enough attention to for them to know if its working, or not, or why not? And... then we get the people like Musk coming along with, ""I got a damn silly idea, but since I am a ""visionary"", you can really believe in it! Lets build it!"" Arghhh!!!!!!!",spam,negative
"This is some of the best CGI ever. My question is: is this just supposed to be a dramatic exaggeration of his plan to get people hyped?
 B/c isn't he just making one tunnel out in Cali?",spam,neutral
the collar is better than the dog,spam,neutral
"I love the idea behind this, but underground traveling would be very hard to construct and the time it would take would be more than 100 years to do so
. The thought of underground traveling with the subway feel, but in your car is very forward thinking.",spam,neutral
So what happens if someone drives on top of the platform to go down while another car is going up,ham,neutral
I don't get it,spam,neutral
"0:46 If you're going to have 3 these on every block just take out the subway and make them inaccessible to cars. 
This little shuttle is fine. Then, 100 people going to block A can be 9 cars instead of 90. It will also prevent needing a menu system accessible by everyone that doesn't involve an app or a specific model of car, since the current model is accessible by anyone with a car. Lastly, who's paying for the upkeep after it's built? Musk or LA?",ham,neutral
would it still be consider as road head???,spam,neutral
"Isn't this what metro trains are for? Except, you know, lower operating costs, higher passenger density, simpler construction?",ham,neutral
"Instead of building this, get rid of all cars. Build subways or buses for every single possible route, problem solved.",spam,negative
EARTHQUAKE,spam,neutral
How long that take ...imma be dead,spam,negative
what they don't show you is the line of 23 cars waiting their turn.. in a populated city...,ham,neutral
"The cost to gain ratio just doesn't seem right to me. If cars are truly driverless, you won't really be that annoyed with traffic
 since AI cars will be highly efficient and there will be fewer accidents that cause traffic. Plus if you do get stuck, you can just sit there and watch a movie or sleep while in route",ham,neutral
"What if we use this to create underground parking pods instead?  
 And create new traffic lanes on the newly available space?",ham,neutral
then a earthquake happens,ham,neutral
"Anyone can make a video showing us how the future could or should work. We all dream for a better tomorrow, 
so what's stopping us from making that dream come true?  Quite a bit actually.",spam,neutral
"Interesting concept, but by the time they have it built, we might have flying cars...",spam,neutral
in your dreams,spam,neutral
"although interesting, this will never come to fruition",spam,neutral
"So it is a car, on a track, doesn't that defeat the purpose",spam,neutral
there would be sooo many more sinkhole incidents happening,ham,neutral
I swear these people are fucking stupid,spam,negative
What if the next car just go on that hole,spam,neutral
"pretty cool, how would it been done thou, long process since Earth's surfaces are all pretty much filled. 
and doing it in a vacant area wouldn't be good either since we need those spaces to maintain our populations food supply. 😐",spam,neutral
Why can't we work on flying cars instead?,spam,neutral
am i the only one who thinks that this is a horrible idea?,spam,negative
hahaha DREAM,spam,neutral
Let's build more roads and tunnels when we can't keep up with the ones we have yeah great plan,spam,neutral
The biggest joke is that this doesnt solve anything at all,spam,negative
He is making it really juicy to short TSLA.,spam,neutral
"Why not instead of using roads or underground tunnels at all, humans use flying cars
 (child like thinking helps fuel creativity and ingenuity)",spam,neutral
Just discover teleportation. Problem solved.,spam,neutral
"please god. sincerely, LA",spam,neutral
"Ay yo we made a car, for your car!",spam,neutral
Just make flying cars. Problem solved.,spam,neutral
hm. interesting.,spam,positive
Not...feasible,spam,neutral
So Utopian :o,spam,neutral
"The real question is how will they dig all the tunnels out and that deep..
.MEXICO WILL PAY FOR UNDERGROUND CAR CARRIERS",spam,neutral
Wtf and the hole in the road while using this shit?,spam,negative
What if a terrorist just goes down there and fuks errthing up,ham,neutral
what if theres a earthquake,ham,neutral
"Elon Musk
_because why not?_",spam,neutral
"Dear Elon Musk, can't you just develop flying quadcopter cars or the 38 jet-engine flying-car working prototype the
 Germans are flying right now, which also has zero emissions? Seems a lot easier than all this especially since it'll be A LOT cheaper... and less intrusive...",spam,neutral
A little bit of strong earthquake would eat the whole Tunnels...,spam,neutral
"0:51 ""Hey guys!? Should we be concerned about the 1000' hole left behind when the car goes down to the tunnels??
 No? Maybe like a cover that retracts out? No? Okay.... Seems like a dangerous omission, especially when cars are driving within inches of it...?? Probably be fine tho...""",spam,neutral
Tesla includet ?,spam,neutral
So where gone the freedom of individual traffic when you are locked on rail cart?,spam,neutral
Almost as ridiculous as the hyper loop,spam,negative
and it will cost more than a tank of gas,spam,neutral
"Raise your hands if you think it's possible....
Now use it to wipe all that bullshit out of your mouth and realize the truth...",spam,negative
What was the point of this video? To show something that will never happen in our lifetime or ever.,spam,negative
earthquakes tho?..,spam,neutral
this seems like a great idea but this will not be done for another 100+ years.,spam,neutral
As soon as an earthquake happens your screwed,ham,neutral
Nice concept art.,spam,positive
nice. so my car needs a car?,spam,neutral
"Better invent flying cars like in Backtothefuture2
it will cost less and no roads are required ;)",spam,neutral
what if a earthquake or tsunami comes along?,ham,neutral
the red car looks like it's making a duck face,spam,neutral
honeslty then wtf is the point of cars,spam,neutral
This is fucking boring.,spam,negative
DOPE ¡¡¡!!!¡¡!!!!!,spam,negative
"I think just the automated car caddy part would be good.  It could smartly move the car through
 existing roads and do away with street parking slow downs and congestion.",ham,positive
nah let's focus on better things,spam,neutral
Anyone getting iRobot flashbacks??,spam,neutral
So wait... why can't we just stand on those platform things to travel all around the world? Wouldn't that save gas and stuff?,spam,neutral
"Great idea but impossible to pull off with building foundations, pipes, sewage systems etc. 
The feet it would need to go underground to be possible would be over the top and HIGHLY expensive.",ham,neutral
What if something brakes down there or there is an emergency how the ambulance go down there,ham,neutral
Not as boring as you would think!,spam,neutral
"Building traffic tunnels in quake prone Los Angeles makes about as much sense as building nuclear reactors on the 
tsunami prone coast of Japan. Money never fixes stupid, it just cleans up stupid's mess after the disaster, Elon.",spam,neutral
"*walking in NYC*
*falls in car sized hole*",spam,neutral
Hey that's pretty good 👍,spam,positive
"Instead of going underground, why don't they make floating rails like in Total Recall? 
there's virtually infinite space to build rails over rails that way.",spam,neutral
"lol, I don't think so",spam,neutral
"A car for cars, who would've knew. The Boring 💤 company, that's who 😅",spam,neutral
"""What about the pipes and sewage"" ""what if it caves"" ""you can't burry into the earth""... the SUBWAY SYSTEM HAS DONE
 ALL THOSE THINGS FOR DECADES IDIOTS GET ON THE RIGHT SIDE OF HISTORY.",spam,neutral
this will be built in 2117😭😂,spam,neutral
the practical & critical company,spam,neutral
"How much is this fantasy going to cost? The concept is nice but this not going to solve any traffic problems and the way people drive nowadays.
 When people see an easier to get to where they are going they are going to go that way. so instead of there being a line of cars in regular traffic, there will be a line waiting to go into the tunnel and I bet there will be a charge for the tunnel ride as well.",spam,neutral
Traffic just to go underground,spam,neutral
1 Earthquake....,spam,neutral
NO NO elon come on dude thats a long shot,spam,negative
Future,spam,neutral
looks dangerous why not just put it above ground ?,ham,negative
what if i went down their,spam,neutral
Then there'd be around 100 people trying to get into one tinsel,spam,neutral
Cool sports car animation..I like it,spam,positive
The future is here,spam,neutral
Welp thanks for ruining TMNT'S hideout....,spam,neutral
But how will my dick fit in the tunnels,spam,neutral
"looks like a new challenge for cyclists!
*dodges 40 ft drop to the ground*",spam,neutral
a bomb will bring the whole thing down,ham,negative
Very impractical and stupid imo,spam,negative
woooow so you're saying we need to put more holes in the ground ???,spam,neutral
one word = EARTHQUAKE,spam,neutral
"No thanks i like cruising in my 1990 mustang gt with load exhaust , not none of this gas electric shit.",spam,negative
"All good until someone presses down on the gas, while riding on that platform.",ham,neutral
wow,spam,neutral
I don't know what everyone's getting so pissy about. It's a cool idea and it will probably stay as an idea,spam,neutral
looks like GTA 6,spam,neutral
boooooring,spam,negative
He thought of this while listening to amish paradise,spam,neutral
Yea fuck that I robot shit that won't work a explosion flood tornado earth quake I would not want to be in that shit ??,spam,negative
"It's funny how you people are trying to come up with ways to fault this design. 
But you're just saying shit that first comes to mind, some child's play physics crap.",spam,neutral
But if they do go down will there just be a huge hole where they went down?,ham,neutral
Just build a subway and attach a extra wagon for rich people.,spam,neutral
"This is just another idea like always.. it's not going to happen any time soon maybe 
in 500 years if we're lucky hate videos like this",spam,neutral
the fucking fiture,spam,neutral
How BORING,spam,negative
Elon,spam,neutral
"So basically sub way for rich people who don't want to sit next to poor people.
We want Teleportation mr Elon Musk.",spam,neutral
First accident that backs this tunnel up for days and its over with......,ham,negative
I like the world in which Muskik lives) Nothing to do with reality),spam,neutral
D Rose D Rose D Rose D Rose D Rose D Rose D Rose D Rose D Rose,spam,neutral
"who gives a shit
that hole kills millions",spam,negative
"In a world full of Teslas, 2030",spam,neutral
This is so fake you guys are all dumb,spam,negative
Reminds me of Dr. Who  and New New York,spam,neutral
"Nice concept. But the real boring stuff is the  engineering challenges  and safety 
 concerns to overcome  to bring this to reality. and o boy are they are mountain of them .",spam,neutral
how\,spam,neutral
"Yeah, because there won't ever be a traffic jam, equipment malfunction, 
 earthquake or even terrorist attack that could potentially trap people underground for hours or even days. Not against it, just wondering how reliable this will be. There would be some impressive crashes a 124 mph.",ham,negative
This is some fucking doctor who shit,spam,neutral
so a car for your car??? nice.,spam,neutral
problem: there are too many cars. silicon valley solution: build cars for the cars! brilliant!,spam,neutral
"ROFL!  The costs of building, maintaining and powering all that crap would be astronomical!",spam,neutral
This is Amazing,spam,neutral
Looks like the perfect way for Elon to access his secret underground lair.,spam,neutral
Lol.. this will never happen.,spam,negative
"Yea, this gigantic underground infrastructure is completely feasible.",spam,neutral
"Way to many things could go wrong, maintenance would be expensive and hard, if a tunnel malfunctions and you become 
stuck getting you out would be very difficult and if it caused an accident the clean up and repair would be immense, in order to install this you would literally have to re-design a city and have to stop city life to install most of it, instillation would take A TON of money and time, to much can and will go wrong, not gonna happen",ham,negative
OMG it's a cool.,spam,positive
Worse than solar roadways,spam,negative
"Serious, or parody?",spam,neutral
Stop playing with nature this will lead to the end,spam,negative
Welcome in 2090. Im not going to live this long so idc.,spam,neutral
Why can't we just ride horses. They are more exciting than Cars 😒,spam,neutral
imma be falling in those holes for sure XD,spam,neutral
Lots of dumb people in the comments.,spam,negative
CoD Advanced Warfare lookin' good,spam,neutral
Pft el chapo did this first,spam,neutral
It doesn't make any fucking sense,spam,neutral
Tesla losses millions of dollars a year watch there company will close,spam,neutral
What happens if a car pod malfunctions? The car will stop and then other cars will wreck into it without being able to stop.,ham,negative
"Future sinkholes, for people to die in, when this collapses.Just sayin'",spam,negative
"Back in time...[PayPal]
""Is Musk crazy? What does he want to do? Send money through the internet?! What does he smoke?""
[Tesla]
""Musk lost his mind! There is no way he can enter in the car industry, especially with an electric car that nobody wants and nobody knows where to charge. This is going to be a failure before it starts""
[SpaceX]
""That's funny! Now Musk wants to build a rocket company! He doesn't even know how to build a rocket engine and he want to compete with giants that have decades of expertise. He is just a bored rich man that is going to lose all of his money.""",spam,neutral
imagine how mich money was used to make this,spam,neutral
OH! Boring as in tunneling!,spam,negative
Woah! This looks awesome!,spam,positive
"how fucken stupid is this shit, a car to drive a car, how about this build more public 
transit that is free and accessible to everyone!",spam,negative
Its very stupid.,spam,negative
#_youtube_returm_the_old_systam,spam,neutral
"Idiotic concept, the cost of the infrastructure alone would be as much as putting a self sustaining base on the Moon.",spam,negative
Remember when this was just a tweet,spam,neutral
"Well, nice rendering :)",spam,neutral
I don't get what's the point of the tunnels when you still got roads up top... Like is it only for special people?,spam,neutral
Nope!,spam,neutral
not a good idea in an earthquake zone,ham,negative
"I recommend everyone go search ""the path"" in Toronto. as you can see this is already a pretty feasible idea that just replicates subways.
 I know its not EXACTLY the same, but no ones falling into sinkholes in Toronto, there aren't any human induced earthquakes, lastly the pipes are just fine.",spam,neutral
Good idea... now explain how those buildings aren't falling through the hollow earth?,spam,neutral
cool idea,spam,positive
"I've been triggered by bad engineering and outright stupid fucking ideas. 
 They might as well make it a thorium powered hyper loop with solar freakin panels for roadways, it's that fucking stupid.",spam,negative
"Dude, Elon, calm the fuck down",spam,negative
"This would be great, but how about the pollution and the FUCKING GLOBAL
 WARMING YOU NON BILL NEYE BROCK OBAMA JUSTIN TRUDUO PEOPLE...",spam,neutral
The tunnel. best way to accidently drive to your death.,spam,negative
"This ideas lack of originality is only matched by it's shear stupidity.  
 Lets see, how long did the big dig in Boston take?  How much did it cost?",spam,negative
God so many retarded people here.,spam,negative
"Elon, you should invent autonomous flying teslas that are blade less and shaped like a glass dome.",spam,neutral
"Good suckers breed, sucker is not a mammoth, sucker will not die out.",spam,neutral
"A MAIN DETAIL MISSED - WITHOUT IT IS IMPOSSIBLE THIS HAPPEN to make so many tunnels in such a big city,
 it would be easier to make the tunnels first and then the city kkkkk",spam,neutral
"Studies have shown that most people are too fucking stupid to follow the directions to use a car wash, 
so what makes anyone think that they will be able to use anything like this? Might as well have been a new idea for a flying car.",spam,negative
Wouldnt some people fall in the holes? They should probably make a fence around it when it's in use.,ham,neutral
"Elon take the L, drop the project",spam,negative
The Boring Service of The Boring Company,spam,neutral
"that's the beggining of the ,inner earth generation",spam,neutral
"im the event that this does happen. if tesla dosent becom affordable for everyone i can see MAJOR 
problems in the future regarding class privilege.",spam,neutral
"This is cool and all, but Jesus man can we slow down on this whole future thing? I don't wanna feel 80 when I'm 18",spam,neutral
"By looking at the comment section it seems like I'm the only one who thinks this is an amazing idea.
 I don't know whether people are just being cynical or sarcastic.",spam,neutral
So a good public transport system but for cars?,spam,neutral
I thought it was gonna be underground parking.,spam,neutral
SOLAR FREAKIN TUNNELS,spam,neutral
Why not get a job nearer to home?,spam,neutral
"And all those waster pipes, sewer pips, drain pips, telephone/cable/electrical conduit's and subways lines disappeared. 
 And lets not forget that the million dollars afoot price tag.   But, it did look cool.",ham,neutral
"It's taking forever to dig the tunnel and when it's done the entire underground
 will be hollow as fuck and ready to sink in anytime",spam,negative
"Ahh yes, let's continue to push the Robert Moses car-centric way of life when it's shown that 
there needs to be better mass transit instead.",spam,neutral
Fucking liberals and they're science. I LIVE IN THE FUCKING OLD AGES LIKE REAL MEN.,spam,neutral
Lot of money,spam,neutral
Somehow there are these massive caverns underground.,spam,neutral
*cough* sinkholes *cough*,spam,neutral
this even looks like its not going to happen,spam,neutral
"Last month he was going to space, Now he boring through the earth.needs to pick a lane",spam,neutral
"yas, huge holes in the middle of the street without any fence what so ever! AWESOME
MUUURIICAAAAAA",spam,neutral
Tesla-City :D,spam,neutral
Powered by Google...,spam,neutral
where the heck are the people walking on the streets?,spam,neutral
Stupid idea right here,spam,negative
Yung Musk's new music video is pretty cool.,spam,positive
I bet they made this on 420,spam,neutral
Why do you wanna car if u cant drive it?,spam,neutral
imagine my daihatsu cuore going 200kmh. Lmfao aint that some funny shit.,spam,neutral
this doesn't seem practical,spam,negative
"Kid trips and falls into hole.
I'll leave how the kid dies up to your imagination.",ham,neutral
"rather build flying cars, no infrastructure required.",spam,neutral
"I admit, this was quite anticlimactic...
This type of transportation would only make sense on long distances that are hard to get to as well. If there is such an entrance every few blocks, such a system would never ever work out for anybody. 
We still got regular highways, airplanes and ships, after all. And they perfectly show how long distance travel works: A big central hub that has the capacity for thousands of individuals. Not a ""one car only entrance"" every few blocks. 
The only way this idea would be practical were if for some reason subways, highways, airplanes and regular railways would disappear. Yea, thats not gonna happen.",ham,negative
why use a platform for the car if its already going to have self driving abilities?,ham,neutral
Here in Spain they do not make a single street well they will do that,spam,neutral
"so lemme get this right you take a car which can power itself then completely forget about that then put the car on its own
 car which requires another power source and then drive it thru magic tunnels that only a few cars are using..... riiiiight",spam,neutral
"It's like a subway but you have to bring your own car. So they save a bit on the cost there, 
but on the other hand you have 1 person per car instead of 50. It would cost you $200 to go across town.",spam,neutral
MIB BLACK TRACK!,spam,neutral
saviour in chief,spam,neutral
"124 mph without tying the car down? oh yeah, and how long before the idiots come out of the woodwork, 
and start opening their doors, exiting the vehicles, hanging out of sunroofs etc. ?",ham,negative
LMAO he's just got the money to do this.,spam,neutral
"This is as viable as Trump's wall. Actually, Trump's wall is more viable.",spam,neutral
It sounds boring.,spam,negative
"I guess it really is the highway, or my way.",spam,neutral
"200km/h, just get Autobahn, its 250km/h",spam,neutral
You wish,spam,neutral
Fineprint: tunnel fare cost $100 per ride plus taxes and insurance in case you get derailed,spam,neutral
You also cannot build tunnels in places like Florida due to the limestone underground,ham,neutral
"Dude, individual cars? Seriously? Build a train system, reduce personal vehicles, don't encourage them. 
Do you know how much livable space is taken up by parking and car storage in Los Angeles? Space that could be parks, businesses, housing. Let trains move people, less cars on the road is the only true answer.",ham,neutral
I think flying car is better alternative to traffic jam or even faster transportation means.,ham,neutral
Imagine,spam,neutral
Sorry but this is fucking bullshit,spam,negative
What if a terrorist enters a tunnel with a car full of explosives?,ham,negative
"I like how in the comment section there are so many dumbasses who try to look so much smarter than this company which literally talks with big business men or governors by the time we're speaking to solve their issues. Because you know, this thing requires such processes ... because it's literally an underground highway under the city. 
So you really think they didn't think about topics such as ""Cars will fall on the gap created when the platform goes down"" where you can just *fucking put a damn gate so they won't*, the underground highway which is literally *THEIR MAIN PROJECT* and ""What if there is an earthquake"" which is the same for damn METRO?! 
Get your shit together idiots. Think before you talk. These people didn't invest million dollars on this project just for you to come to them and tell them ""What if my son wants to pee"" and just like that they will abandon the project because they were so idiots. But no, I don't think Metros have toilets so neither this platform.",spam,neutral
"seriously people, some of your arguments to why this couldnt work is just retarded.
""what if there's an earthquake?"", ""how will you avoid breaking sewage and water pipes?"", ""how would i leave if i have to take a leak?""...
out of all the more credible questions you could have, such as how much would this realistically cost, you had to ask the stupid ones...",spam,neutral
"this would be very useful in the Netherlands too, since well.. we don't have a lot of space for roads anymore..",spam,positive
"If everyone's already in their electric cars, why don't the cars just drive through tunnels? 
It seems a lot cheaper than having shuttle cars ferrying everyone around. 200 kph isn't outside the current Tesla's operating range",ham,neutral
"Elon Musk is a GENIUS! I can't be the only one seeing the purpose of this video?! It's obviously the most effective way
 to get feedback on this idéa and gather information on what's good and whats bad about it. Because who the hell would fill out a google form these days... Don't you see? You are all co-creators of this concept now. Pure genius.",spam,positive
Jesus christ... What a *boring* concept...,spam,negative
lol top speed is only 124mph.... bih I be driving 150mph through traffic in my Mazdaspeed,spam,neutral
meanwhile after the 1st car takes the tunnel there's a giant gapping hole that some dumbass will certainly drive into.,spam,negative
"i came up with this idea years ago.  

the in/out method needs work tho",spam,neutral
Is this Star Wars 8?,spam,neutral
Tesla model s?,spam,neutral
"Hey. I make short to the point self improvement videos. Come watch them. Improve. Take what you want in life. 
*My channel is here to help those who want to change*. I'll help you see things in a simpler way. See you there!",spam,neutral
